id,clustering_coefficient_std,clustering_coefficient_max,weight_ratio,inside_weights_25,outside_weight_ratio,inside_weights,inside_weights_75,clustering_coefficient_25,size,degree_max,pageranks_50,inside_edges,pageranks_mean,pageranks_75,clustering_coefficient_50,subgraph_clustering_coeff,clustering_coeff_mean,degree_50,degree_75,inside_weight_ratio,inside_weights_50,degree_std,clustering_coefficient_75,outside_edges,pageranks_std,degree_mean,density,pageranks_max,cohesion,degree_25,pageranks_25,unlinked,outside_weights,inside_weights_mean,inside_weights_std
0,0.000130627,0.001254817,2.661174631,7,0.273136384,98687,18,1.59E-05,539,0.001254817,4.69E-05,5435,9.39E-05,0.000117351,5.10E-05,0.506378234,0.000102239,5.10E-05,0.000143317,0.726863616,10,0.000130627,0.000143317,3084,0.000126224,0.000102239,0.037485085,0.001552981,1.76232166,1.59E-05,2.24E-05,0.981257457,37084,18.15768169,30.98872355
1,0.000264093,0.002344024,1.929098306,8,0.341401993,129456,31,2.23E-05,362,0.002344024,4.53E-05,3907,0.000139241,0.000112876,5.41E-05,0.720650492,0.000141276,5.41E-05,0.000136947,0.658598007,14,0.000264093,0.000136947,4418,0.00031544,0.000141276,0.059794004,0.003866567,0.884336804,2.23E-05,2.23E-05,0.970102998,67107,33.1343742,62.67890484
2,0.000281332,0.002258034,1.580665971,8,0.387496875,115161,25,2.55E-05,334,0.002258034,5.26E-05,4211,0.00014207,0.000132569,7.33E-05,0.687268651,0.000182745,7.33E-05,0.000199847,0.612503125,13,0.000281332,0.000199847,5106,0.000244408,0.000182745,0.075722429,0.002323444,0.82471602,2.55E-05,2.45E-05,0.962138785,72856,27.34766089,51.55704102
3,0.000353301,0.004500143,1.125166993,8,0.470551257,90118,24,1.59E-05,336,0.004500143,4.35E-05,3537,0.000137524,0.0001084,6.05E-05,0.690768422,0.000168435,6.05E-05,0.000170388,0.529448743,12,0.000353301,0.000170388,5037,0.000345203,0.000168435,0.062846482,0.005088064,0.702203693,1.59E-05,2.17E-05,0.968576759,80093,25.47865423,44.59720346
4,0.000239993,0.002452307,1.234763533,8,0.447474637,95688,28,1.27E-05,331,0.002452307,4.60E-05,2925,0.00012544,0.000110616,5.41E-05,0.64694456,0.000131222,5.41E-05,0.000143317,0.552525363,13,0.000239993,0.000143317,4771,0.00024865,0.000131222,0.053556715,0.002081834,0.613079019,1.27E-05,2.12E-05,0.973221642,77495,32.71384615,78.10412837
5,0.000230014,0.001175197,1.208061852,8,0.452885864,66563,28,1.59E-05,244,0.001175197,4.25E-05,2237,0.000129123,0.00014703,5.41E-05,0.703624051,0.000158327,5.41E-05,0.000204624,0.547114136,14,0.000230014,0.000204624,3685,0.000198088,0.000158327,0.07545706,0.001235896,0.607055631,1.59E-05,2.01E-05,0.96227147,55099,29.75547608,55.53803662
6,0.000257537,0.001621071,1.681098032,8,0.372981513,71835,31.5,1.91E-05,205,0.001621071,5.57E-05,2131,0.000138213,0.00013227,7.33E-05,0.708126039,0.000148723,7.33E-05,0.000162426,0.627018487,14,0.000257537,0.000162426,2556,0.000264865,0.000148723,0.10191296,0.00192465,0.83372457,1.91E-05,2.05E-05,0.94904352,42731,33.70952604,63.11131145
7,0.000210022,0.001872671,1.144751525,8,0.466254477,44113,25,9.55E-06,238,0.001872671,3.82E-05,1598,0.000108978,9.95E-05,4.14E-05,0.660722686,0.000109943,4.14E-05,0.000110672,0.533745523,13,0.000210022,0.000110672,2711,0.000224738,0.000109943,0.056660639,0.002412444,0.589450387,9.55E-06,1.76E-05,0.971669681,38535,27.60513141,48.75537157
8,0.000539465,0.00542374,0.267837047,8,0.788744896,14280,35,1.27E-05,126,0.00542374,3.49E-05,406,0.000149181,8.05E-05,4.62E-05,0.712458962,0.00015646,4.62E-05,0.000110672,0.211255104,15,0.000539465,0.000110672,2766,0.000679395,0.00015646,0.051555556,0.007343061,0.146782357,1.27E-05,1.87E-05,0.974222222,53316,35.17241379,60.93568302
9,0.000249971,0.001834453,0.85175154,9,0.540029252,28618,32.5,1.59E-05,107,0.001834453,4.76E-05,659,0.000132937,0.000113276,6.37E-05,0.748721065,0.000143436,6.37E-05,0.000149686,0.459970748,15,0.000249971,0.000149686,1850,0.000287596,0.000143436,0.116205255,0.002584055,0.356216216,1.59E-05,2.02E-05,0.941897373,33599,43.42640364,97.87365412
10,0.00034609,0.002560591,0.500658461,9,0.666374146,19769,34.75,1.91E-05,93,0.002560591,3.90E-05,446,0.000151093,0.000112153,5.73E-05,0.780143444,0.00017359,5.73E-05,0.00017198,0.333625854,16,0.00034609,0.00017198,2233,0.000352693,0.00017359,0.104254324,0.002859917,0.199731303,1.91E-05,2.09E-05,0.947872838,39486,44.32511211,100.235148
11,0.000301476,0.001678397,0.826612903,9,0.547461369,23165,41.5,1.59E-05,94,0.001678397,4.60E-05,511,0.000141016,0.000107507,5.10E-05,0.779838864,0.000166322,5.10E-05,0.000166407,0.452538631,17,0.000301476,0.000166407,1838,0.000276819,0.000166322,0.116906886,0.001916338,0.278019587,1.59E-05,1.91E-05,0.941546557,28024,45.33268102,95.76291096
12,9.59E-05,0.000598745,2.513627451,8,0.284606155,25639,26,1.59E-05,138,0.000598745,5.15E-05,827,9.32E-05,0.000111862,4.94E-05,0.642723711,7.56E-05,4.94E-05,9.16E-05,0.715393845,12,9.59E-05,9.16E-05,818,0.000130882,7.56E-05,0.087485454,0.001093609,1.011002445,1.59E-05,2.46E-05,0.956257273,10200,31.00241838,64.69891196
13,0.000129359,0.000579636,1.020043265,8,0.495038902,23105,27,2.23E-05,150,0.000579636,4.01E-05,923,8.54E-05,9.44E-05,5.41E-05,0.630770944,0.000101022,5.41E-05,0.000127393,0.504961098,13,0.000129359,0.000127393,1559,0.000106125,0.000101022,0.082595078,0.000546386,0.592046183,2.23E-05,2.30E-05,0.958702461,22651,25.03250271,34.49312625
14,0.000232821,0.00162744,0.7145407,8,0.58324658,17214,29,1.19E-05,116,0.00162744,4.05E-05,637,0.000108439,0.000111722,5.25E-05,0.698317745,0.000130028,5.25E-05,0.000139336,0.41675342,14,0.000232821,0.000139336,1639,0.000196047,0.000130028,0.095502249,0.001653206,0.388651617,1.19E-05,1.88E-05,0.952248876,24091,27.02354788,37.97972372
15,0.000112908,0.000570082,1.300734847,8,0.434643741,23542,26,1.59E-05,132,0.000570082,4.32E-05,892,9.03E-05,0.000109729,4.62E-05,0.690080635,9.17E-05,4.62E-05,0.000119431,0.565356259,13,0.000112908,0.000119431,1330,0.000119471,9.17E-05,0.103169096,0.000628738,0.670676692,1.59E-05,2.35E-05,0.948415452,18099,26.39237668,58.84545645
16,0.000222023,0.001445906,0.723759855,8,0.580127213,17625,29,2.23E-05,108,0.001445906,4.54E-05,592,0.000109702,0.000100734,5.57E-05,0.600323173,0.000134765,5.57E-05,0.000121819,0.419872787,14,0.000222023,0.000121819,1772,0.000158873,0.000134765,0.102457598,0.000939208,0.334085779,2.23E-05,2.49E-05,0.948771201,24352,29.77195946,50.69480447
17,0.000369816,0.002433199,0.517218855,9,0.659100694,14253,38,1.59E-05,79,0.002433199,3.38E-05,295,0.000148537,7.55E-05,4.14E-05,0.747244207,0.000163272,4.14E-05,0.000108284,0.340899306,16,0.000369816,0.000108284,1704,0.00036573,0.000163272,0.095748134,0.002670371,0.173122066,1.59E-05,1.86E-05,0.952125933,27557,48.31525424,142.8080813
18,0.00028962,0.002340839,0.428240113,8,0.700162382,14218,31,1.27E-05,106,0.002340839,3.93E-05,502,0.00010837,9.41E-05,4.30E-05,0.73847443,0.000128925,4.30E-05,0.000120227,0.299837618,13,0.00028962,0.000120227,2126,0.000247913,0.000128925,0.090206649,0.002047368,0.236124177,1.27E-05,2.10E-05,0.954896676,33201,28.32270916,46.97854306
19,0.000343045,0.002713462,0.349036952,8,0.741269539,12232,40.5,1.67E-05,86,0.002713462,3.77E-05,282,0.000125131,7.39E-05,3.98E-05,0.746270456,0.00013991,3.98E-05,9.16E-05,0.258730461,15,0.000343045,9.16E-05,1932,0.00034935,0.00013991,0.077154583,0.002930158,0.145962733,1.67E-05,2.13E-05,0.961422709,35045,43.37588652,88.66288365
20,7.75E-05,0.000474537,2.595727637,8,0.278107827,19442,24,2.87E-05,132,0.000474537,5.11E-05,845,8.02E-05,8.64E-05,5.10E-05,0.531368538,7.38E-05,5.10E-05,8.28E-05,0.721892173,12,7.75E-05,8.28E-05,589,9.20E-05,7.38E-05,0.097733056,0.000725693,1.434634975,2.87E-05,3.01E-05,0.951133472,7490,23.00828402,31.21937917
21,0.000102511,0.000586006,1.442986621,8,0.409335029,16717,22,1.27E-05,122,0.000586006,4.51E-05,785,7.97E-05,9.75E-05,5.25E-05,0.619019706,8.56E-05,5.25E-05,0.000114653,0.590664971,12,0.000102511,0.000114653,949,8.70E-05,8.56E-05,0.106354153,0.000453748,0.827186512,1.27E-05,2.02E-05,0.946822924,11585,21.2955414,34.49060491
22,0.000161321,0.001531896,0.917752978,8,0.521443591,9786,23.5,1.27E-05,113,0.001531896,3.67E-05,387,7.53E-05,6.24E-05,3.82E-05,0.666477458,7.07E-05,3.82E-05,6.37E-05,0.478556409,13,0.000161321,6.37E-05,837,0.000187629,7.07E-05,0.061156764,0.001851897,0.462365591,1.27E-05,1.78E-05,0.969421618,10663,25.28682171,51.920461
23,0.000267402,0.001328068,0.999064327,10,0.500234028,12813,43,1.91E-05,64,0.001328068,4.09E-05,284,0.000128376,0.000107509,4.14E-05,0.75693899,0.00014894,4.14E-05,0.000118634,0.499765972,17,0.000267402,0.000118634,890,0.000232882,0.00014894,0.140873016,0.001323787,0.319101124,1.91E-05,2.12E-05,0.929563492,12825,45.11619718,97.59536985
24,0.000219276,0.001894965,0.402388776,8,0.713069027,7715,31,1.27E-05,89,0.001894965,3.34E-05,294,8.98E-05,8.26E-05,3.82E-05,0.640834722,0.000100196,3.82E-05,0.000111469,0.286930973,15,0.000219276,0.000111469,1138,0.000211732,0.000100196,0.075076609,0.00190659,0.258347979,1.27E-05,2.01E-05,0.962461696,19173,26.2414966,33.92237305
25,0.000143711,0.000888563,1.216469629,9,0.451167923,11936,29,1.59E-05,81,0.000888563,5.20E-05,381,9.62E-05,0.000107847,4.78E-05,0.653621701,0.00010561,4.78E-05,0.000121023,0.548832077,15,0.000143711,0.000121023,726,0.000138693,0.00010561,0.117592593,0.001048044,0.524793388,1.59E-05,2.00E-05,0.941203704,9812,31.32808399,47.5613153
26,0.000214549,0.0011115,0.391271533,9,0.718766953,8813,26,1.27E-05,64,0.0011115,4.03E-05,279,0.000110293,9.89E-05,5.41E-05,0.697980076,0.000142919,5.41E-05,0.000144909,0.281233047,15,0.000214549,0.000144909,1501,0.000161381,0.000142919,0.138392857,0.000816604,0.185876083,1.27E-05,2.08E-05,0.930803571,22524,31.58781362,85.2356968
27,0.000196751,0.000923596,0.570168404,9,0.636874362,9954,28,9.55E-06,68,0.000923596,3.32E-05,328,0.000100675,9.05E-05,3.34E-05,0.743805326,0.000114466,3.34E-05,0.000118634,0.363125638,15,0.000196751,0.000118634,1087,0.000166802,0.000114466,0.143985953,0.0010218,0.30174793,9.55E-06,1.68E-05,0.928007024,17458,30.34756098,55.29544754
28,0.000195495,0.001442721,1.394736842,9,0.417582418,10335,32,1.04E-05,66,0.001442721,3.60E-05,227,0.000101281,7.75E-05,2.55E-05,0.757169455,8.21E-05,2.55E-05,7.64E-05,0.582417582,15,0.000195495,7.64E-05,564,0.000232919,8.21E-05,0.105827506,0.001674189,0.40248227,1.04E-05,2.00E-05,0.947086247,7410,45.52863436,111.5661943
29,0.000156883,0.000977738,0.843384594,9.25,0.542480394,11901,45.5,1.59E-05,59,0.000977738,4.51E-05,246,0.000112984,0.00011711,4.46E-05,0.74829622,9.88E-05,4.46E-05,9.55E-05,0.457519606,18,0.000156883,9.55E-05,774,0.00019041,9.88E-05,0.14377557,0.001268842,0.317829457,1.59E-05,2.53E-05,0.928112215,14111,48.37804878,86.85994337
