id,clustering_coefficient_std,clustering_coefficient_max,inside_weights_25,outside_weight_ratio,inside_weights,inside_weights_75,clustering_coefficient_25,size,degree_max,pageranks_50,inside_edges,pageranks_mean,pageranks_75,clustering_coefficient_50,subgraph_clustering_coeff,clustering_coeff_mean,degree_50,degree_75,inside_weight_ratio,inside_weights_50,degree_std,clustering_coefficient_75,outside_edges,pageranks_std,degree_mean,density,pageranks_max,cohesion,degree_25,pageranks_25,unlinked,outside_weights,inside_weights_mean,inside_weights_std
0,0.242141155,0.230904818,0.004329004,0.294380325,0.762309772,0.028537455,0.098765432,1,0.230904818,0.169126471,1,0.510314349,0.3950038,0.214285714,0.506378234,0.551647901,0.214285714,0.556962025,0.705619675,0.017316017,0.242141155,0.556962025,0.6039953,0.18578848,0.551647901,0,0.209293113,0.291034802,0.098765432,0.081472401,1,0.463011749,0.042509377,0.082529951
1,0.489546396,0.431844888,0.008658009,0.367955482,1,0.059453032,0.148148148,0.670391061,0.431844888,0.160848235,0.718807508,0.823953207,0.377490704,0.228571429,0.720650492,0.769048099,0.228571429,0.53164557,0.632044518,0.034632035,0.489546396,0.53164557,0.865256561,0.46429623,0.769048099,0.023177738,0.52524193,0.144147602,0.148148148,0.080640412,0.976822262,0.837863484,0.094875434,0.166928041
2,0.521501987,0.415981199,0.008658009,0.417635521,0.889571263,0.045184304,0.172839506,0.618249534,0.415981199,0.199222834,0.774751564,0.84354228,0.454570488,0.314285714,0.687268651,1,0.314285714,0.78164557,0.582364479,0.03030303,0.521501987,0.78164557,1,0.359744108,1,0.039726495,0.314509436,0.134173022,0.172839506,0.101904498,0.960273505,0.909642541,0.074642171,0.137308013
3,0.654911239,0.829612221,0.008658009,0.507149688,0.69611433,0.042806183,0.098765432,0.621973929,0.829612221,0.151026786,0.650717703,0.8120693,0.359970602,0.257142857,0.690768422,0.920303021,0.257142857,0.664556962,0.492850312,0.025974026,0.654911239,0.664556962,0.986486486,0.508103246,0.920303021,0.026349095,0.692052401,0.113676663,0.098765432,0.075123653,0.973650905,1,0.068107183,0.118772398
4,0.444872715,0.451821387,0.008658009,0.48227822,0.739142526,0.052318668,0.074074074,0.612662942,0.451821387,0.164598361,0.538093485,0.728391952,0.368643588,0.228571429,0.64694456,0.71305864,0.228571429,0.556962025,0.51772178,0.03030303,0.444872715,0.556962025,0.934390913,0.365987953,0.71305864,0.016697539,0.281514508,0.098766072,0.074074074,0.069675751,0.983302461,0.967562708,0.093405056,0.208008886
5,0.426374018,0.216216216,0.008658009,0.48811032,0.514152182,0.052318668,0.098765432,0.450651769,0.216216216,0.14615661,0.411483254,0.753891868,0.511169688,0.228571429,0.703624051,0.864010426,0.228571429,0.800632911,0.51188968,0.034632035,0.426374018,0.800632911,0.721699961,0.29156525,0.864010426,0.039450791,0.165991357,0.097758357,0.098765432,0.059032162,0.960549209,0.687937772,0.083061105,0.147910301
6,0.477393315,0.298472385,0.008658009,0.401991186,0.554878331,0.060642093,0.12345679,0.378026071,0.298472385,0.215894269,0.391976445,0.816835703,0.45339998,0.314285714,0.708126039,0.810524421,0.314285714,0.632911392,0.598008814,0.034632035,0.477393315,0.632911392,0.500587544,0.389854029,0.810524421,0.066937015,0.260049227,0.135680156,0.12345679,0.06278023,0.933062985,0.533517286,0.096886455,0.168079638
7,0.389316528,0.344888367,0.008658009,0.502518714,0.340726149,0.045184304,0.049382716,0.439478585,0.344888367,0.123144812,0.29389032,0.61439555,0.32531631,0.171428571,0.660722686,0.59455243,0.171428571,0.42721519,0.497481286,0.03030303,0.389316528,0.42721519,0.530943987,0.330791791,0.59455243,0.019922344,0.326663377,0.094812993,0.049382716,0.034464619,0.980077656,0.481128188,0.075542418,0.129846536
8,1,1,0.008658009,0.850091721,0.110266512,0.068965517,0.074074074,0.230912477,1,0.105870577,0.074530732,0.892782226,0.250953868,0.192857143,0.712458962,0.853614396,0.192857143,0.42721519,0.149908279,0.038961039,1,0.42721519,0.541715629,1,0.853614396,0.014618444,1,0.020754463,0.074074074,0.04550597,0.985381556,0.665676151,0.102001447,0.162285449
9,0.463368039,0.337837838,0.012987013,0.582031528,0.221027424,0.063020214,0.098765432,0.195530726,0.337837838,0.172851002,0.121089437,0.780302379,0.379055784,0.271428571,0.748721065,0.781078327,0.271428571,0.582278481,0.417968472,0.038961039,0.463368039,0.582278481,0.362318841,0.423312509,0.781078327,0.081785922,0.350099106,0.055792827,0.098765432,0.05987526,0.918214078,0.419499831,0.130861551,0.260659586
10,0.641543784,0.471797885,0.012987013,0.718203246,0.152668984,0.068370987,0.12345679,0.169459963,0.471797885,0.127443827,0.081891792,0.906025941,0.374661098,0.242857143,0.780143444,0.949009383,0.242857143,0.670886076,0.281796754,0.043290043,0.641543784,0.670886076,0.437328633,0.519128256,0.949009383,0.069369563,0.38777138,0.029612842,0.12345679,0.066785535,0.930630437,0.493001885,0.134003888,0.266948776
11,0.558843637,0.309048179,0.012987013,0.590041697,0.178903051,0.084423306,0.098765432,0.17132216,0.309048179,0.164311846,0.093853515,0.836245574,0.356474648,0.214285714,0.779838864,0.908534705,0.214285714,0.648734177,0.409958303,0.047619048,0.558843637,0.648734177,0.359968664,0.407449076,0.908534705,0.082514878,0.25891401,0.042710501,0.098765432,0.049199278,0.917485122,0.349893249,0.137526857,0.255038202
12,0.177725172,0.10987074,0.008658009,0.30674219,0.198014677,0.047562426,0.098765432,0.253258845,0.10987074,0.193591189,0.152005889,0.50487621,0.373520157,0.207142857,0.642723711,0.403317379,0.207142857,0.351265823,0.69325781,0.025974026,0.177725172,0.351265823,0.160203682,0.192644411,0.403317379,0.05194763,0.146560252,0.165338812,0.098765432,0.102778034,0.94805237,0.127351953,0.087421043,0.172307775
13,0.239791411,0.106345476,0.008658009,0.533541928,0.178439552,0.049940547,0.148148148,0.275605214,0.106345476,0.13295669,0.169672433,0.451162374,0.305232596,0.228571429,0.630770944,0.544871754,0.228571429,0.493670886,0.466458072,0.03030303,0.239791411,0.493670886,0.305327066,0.15620555,0.544871754,0.046866799,0.071830161,0.09524727,0.148148148,0.087480285,0.953133201,0.282808735,0.066547212,0.091862964
14,0.431577599,0.299647474,0.008658009,0.628610203,0.132931634,0.05469679,0.067901235,0.212290503,0.299647474,0.135457057,0.117040854,0.610663623,0.372973126,0.221428571,0.698317745,0.706410376,0.221428571,0.541139241,0.371389797,0.034632035,0.431577599,0.541139241,0.320994908,0.288560639,0.706410376,0.060276639,0.222980104,0.061219282,0.067901235,0.046032754,0.939723361,0.300787834,0.073508909,0.101148559
15,0.209295648,0.104582844,0.008658009,0.468449365,0.181815373,0.047562426,0.098765432,0.242085661,0.104582844,0.149393906,0.163967611,0.484814843,0.365173064,0.192857143,0.690080635,0.492865568,0.192857143,0.462025316,0.531550635,0.03030303,0.209295648,0.462025316,0.260477869,0.175848871,0.492865568,0.06824207,0.083076355,0.108402184,0.098765432,0.092062874,0.93175793,0.225974804,0.071302016,0.156718705
16,0.411561725,0.266157462,0.008658009,0.625248218,0.136106605,0.05469679,0.148148148,0.197392924,0.266157462,0.161152824,0.108759661,0.619410401,0.32996672,0.235714286,0.600323173,0.73278892,0.235714286,0.471518987,0.374751782,0.034632035,0.411561725,0.471518987,0.347042695,0.233845051,0.73278892,0.067502863,0.125474868,0.052090396,0.148148148,0.106057115,0.932497137,0.304046546,0.083118739,0.135011683
17,0.685524182,0.448296122,0.012987013,0.710364081,0.110057937,0.076099881,0.098765432,0.143389199,0.448296122,0.09970582,0.054103791,0.888325214,0.231221285,0.171428571,0.747244207,0.891550359,0.171428571,0.417721519,0.289635919,0.043290043,0.685524182,0.417721519,0.333725029,0.538318179,0.891550359,0.060532099,0.3618865,0.025161106,0.098765432,0.044825508,0.939467901,0.344062527,0.147955434,0.380330087
18,0.536865776,0.431257344,0.008658009,0.754619456,0.109787563,0.059453032,0.074074074,0.193668529,0.431257344,0.129159051,0.092197276,0.61018595,0.30400263,0.178571429,0.73847443,0.700265419,0.178571429,0.465189873,0.245380544,0.03030303,0.536865776,0.465189873,0.416372895,0.364902857,0.700265419,0.054774802,0.276807798,0.035701383,0.074074074,0.067618459,0.945225198,0.414530608,0.078051431,0.125114442
19,0.635898861,0.5,0.008658009,0.798923837,0.094445732,0.082045184,0.104938272,0.156424581,0.5,0.120296677,0.051711446,0.726253412,0.224757352,0.164285714,0.746270456,0.761441117,0.164285714,0.351265823,0.201076163,0.038961039,0.635898861,0.351265823,0.378378378,0.514207497,0.761441117,0.041214424,0.397363663,0.020617339,0.104938272,0.070519858,0.958785576,0.437553844,0.130684918,0.23612923
20,0.143636398,0.086956522,0.008658009,0.299738436,0.150142912,0.042806183,0.197530864,0.242085661,0.086956522,0.1917662,0.155318366,0.414840524,0.273892352,0.214285714,0.531368538,0.393029386,0.214285714,0.316455696,0.700261564,0.025974026,0.143636398,0.316455696,0.115354485,0.135359228,0.393029386,0.062594324,0.096316817,0.236212695,0.197530864,0.156808731,0.937405676,0.093516287,0.059469525,0.083144239
21,0.190023736,0.107520564,0.008658009,0.441172198,0.129092314,0.038049941,0.074074074,0.223463687,0.107520564,0.159500082,0.144276776,0.411675514,0.317349011,0.221428571,0.619019706,0.458828353,0.221428571,0.443037975,0.558827802,0.025974026,0.190023736,0.443037975,0.185859773,0.128002059,0.458828353,0.071551169,0.059179395,0.134586337,0.074074074,0.060128473,0.928448831,0.144644351,0.053480914,0.09185625
22,0.299039713,0.282021152,0.008658009,0.562000315,0.075550406,0.041617122,0.074074074,0.206703911,0.282021152,0.115315372,0.071034229,0.380926684,0.180015254,0.157142857,0.666477458,0.376081053,0.157142857,0.240506329,0.437999685,0.03030303,0.299039713,0.240506329,0.163924794,0.276171269,0.376081053,0.02459357,0.250113819,0.073551658,0.074074074,0.036879367,0.97540643,0.133132733,0.06743644,0.138275882
23,0.495680812,0.244418331,0.017316017,0.539141119,0.098933951,0.087990488,0.12345679,0.115456238,0.244418331,0.137355944,0.052079499,0.748718762,0.356481745,0.171428571,0.75693899,0.811731653,0.171428571,0.458860759,0.460858881,0.047619048,0.495680812,0.458860759,0.17430474,0.342778595,0.811731653,0.107414367,0.177993901,0.049583458,0.12345679,0.069957266,0.892585633,0.160126353,0.13676992,0.259918452
24,0.406469536,0.349001175,0.008658009,0.768529951,0.059551951,0.059453032,0.074074074,0.162011173,0.349001175,0.097735362,0.053919764,0.481661325,0.258908175,0.157142857,0.640834722,0.540272167,0.157142857,0.430379747,0.231470049,0.038961039,0.406469536,0.430379747,0.222875049,0.311647705,0.540272167,0.039055523,0.25758278,0.039419434,0.074074074,0.059450479,0.960944477,0.239384216,0.070774464,0.09034292
25,0.26639567,0.16333725,0.012987013,0.486258762,0.092159135,0.05469679,0.098765432,0.147113594,0.16333725,0.196137604,0.06993007,0.525884194,0.357806381,0.2,0.653621701,0.570421376,0.2,0.46835443,0.513741238,0.038961039,0.26639567,0.46835443,0.142185664,0.20414222,0.570421376,0.083227289,0.140337852,0.083995852,0.098765432,0.058434402,0.916772711,0.122507585,0.088559734,0.126666495
26,0.397707003,0.204465335,0.012987013,0.774671049,0.06803399,0.047562426,0.074074074,0.115456238,0.204465335,0.134099966,0.051159367,0.623504227,0.32294711,0.228571429,0.697980076,0.778198184,0.228571429,0.563291139,0.225328951,0.038961039,0.397707003,0.563291139,0.293967881,0.237536394,0.778198184,0.104837619,0.10873176,0.027294858,0.074074074,0.065734948,0.895162381,0.281223078,0.08946788,0.227001859
27,0.36471507,0.169800235,0.012987013,0.686409034,0.076848204,0.052318668,0.049382716,0.122905028,0.169800235,0.09685271,0.060176665,0.556901447,0.290074699,0.135714286,0.743805326,0.61974154,0.135714286,0.458860759,0.313590966,0.038961039,0.36471507,0.458860759,0.2128868,0.245515472,0.61974154,0.110648537,0.1367538,0.046680262,0.049382716,0.026610926,0.889351463,0.217971608,0.085131332,0.147264232
28,0.362386809,0.265569918,0.012987013,0.45006105,0.079791425,0.061831153,0.055555556,0.119180633,0.265569918,0.111535396,0.041589989,0.56109717,0.238842028,0.1,0.757169455,0.439655436,0.1,0.291139241,0.54993895,0.038961039,0.362386809,0.291139241,0.110458284,0.34283262,0.439655436,0.071004012,0.225845616,0.063533155,0.055555556,0.058036831,0.928995988,0.092517448,0.138212008,0.297125905
29,0.290812902,0.179788484,0.014069264,0.584673313,0.09188876,0.093935791,0.098765432,0.106145251,0.179788484,0.159501687,0.045086492,0.642136012,0.394060703,0.185714286,0.74829622,0.532401945,0.185714286,0.367088608,0.415326687,0.051948052,0.290812902,0.367088608,0.151586369,0.280264143,0.532401945,0.110429961,0.170490492,0.049370708,0.098765432,0.109800288,0.889570039,0.176182688,0.148174996,0.231327594
30,0.329453073,0.155699177,0.008658009,0.568937885,0.076871379,0.066587396,0.074074074,0.121042831,0.155699177,0.084426972,0.054103791,0.543865513,0.308777783,0.128571429,0.724811385,0.588752906,0.128571429,0.449367089,0.431062115,0.034632035,0.329453073,0.449367089,0.159616138,0.219841917,0.588752906,0.099675032,0.099164617,0.056754298,0.074074074,0.047411742,0.900324968,0.139000911,0.097036861,0.170946091
31,0.287783626,0.222091657,0.012987013,0.541023572,0.05239861,0.068965517,0.074074074,0.147113594,0.222091657,0.104028226,0.045638572,0.401058352,0.16786661,0.1,0.687023341,0.347946091,0.1,0.17721519,0.458976428,0.047619048,0.287783626,0.17721519,0.11084998,0.234973017,0.347946091,0.040899903,0.170216738,0.069798063,0.074074074,0.078854425,0.959100097,0.085438178,0.074353357,0.074445006
32,0.167219632,0.080493537,0.008658009,0.401397596,0.061042874,0.042806183,0.074074074,0.147113594,0.080493537,0.094153533,0.058520427,0.396157343,0.233939325,0.085714286,0.727833133,0.322326398,0.085714286,0.253164557,0.598602404,0.03030303,0.167219632,0.253164557,0.076576577,0.167774487,0.322326398,0.063346244,0.092206695,0.132690868,0.074074074,0.077931589,0.936653756,0.058594384,0.065699191,0.092527193
33,0.34077885,0.142185664,0.012987013,0.711511099,0.056616454,0.052318668,0.055555556,0.111731844,0.142185664,0.104651076,0.049319102,0.551675801,0.245496995,0.171428571,0.77167797,0.613632977,0.171428571,0.360759494,0.288488901,0.034632035,0.34077885,0.360759494,0.171954563,0.220410358,0.613632977,0.108847862,0.078563836,0.047454897,0.055555556,0.048623998,0.891152138,0.177905685,0.074362441,0.088711756
34,0.087283815,0.03760282,0.012987013,0.268349994,0.067083816,0.052318668,0.074074074,0.139664804,0.03760282,0.154799053,0.066801619,0.398250687,0.316448998,0.142857143,0.620881322,0.257527826,0.142857143,0.240506329,0.731650006,0.034632035,0.087283815,0.240506329,0.045828437,0.121201523,0.257527826,0.090301799,0.052106958,0.256442755,0.074074074,0.092494459,0.909698201,0.035970684,0.062495197,0.08337029
35,0.256267379,0.10987074,0.012987013,0.397644752,0.099142526,0.099286564,0.074074074,0.100558659,0.10987074,0.11078292,0.053919764,0.579850481,0.40385245,0.185714286,0.775738545,0.551738395,0.185714286,0.522151899,0.602355248,0.04978355,0.256267379,0.522151899,0.105562084,0.208317103,0.551738395,0.159399094,0.084230608,0.087452471,0.074074074,0.03816538,0.840600906,0.093728541,0.131725417,0.269998702
36,0.259406222,0.133960047,0.008658009,0.574350322,0.059119351,0.047562426,0.049382716,0.130353818,0.133960047,0.070893134,0.050423261,0.418158418,0.223486338,0.078571429,0.714744364,0.447851946,0.078571429,0.319620253,0.425649678,0.03030303,0.259406222,0.319620253,0.118096357,0.199113957,0.447851946,0.07283513,0.113754056,0.07249557,0.049382716,0.038869604,0.92716487,0.109098173,0.07640178,0.118919156
37,0.531780865,0.39306698,0.012987013,0.732185594,0.036546929,0.05469679,0.074074074,0.113594041,0.39306698,0.066689973,0.032204637,0.460269161,0.207058549,0.114285714,0.744931769,0.588689876,0.114285714,0.234177215,0.267814406,0.036796537,0.531780865,0.234177215,0.142381512,0.317450185,0.588689876,0.054682459,0.217366605,0.036699599,0.074074074,0.05339401,0.945317541,0.125304334,0.073128576,0.086202979
38,0.214125188,0.122209166,0.012987013,0.455145954,0.073557358,0.061831153,0.049382716,0.124767225,0.122209166,0.083503326,0.053919764,0.389440447,0.220438969,0.128571429,0.758829252,0.389693529,0.128571429,0.341772152,0.544854046,0.043290043,0.214125188,0.341772152,0.096553075,0.181238449,0.389693529,0.091255321,0.091783579,0.095967114,0.049382716,0.045598357,0.908744679,0.086961407,0.092336235,0.131741552
39,0.320931963,0.198589894,0.012987013,0.619948151,0.044959444,0.067776457,0.024691358,0.117318436,0.198589894,0.056899582,0.029812293,0.419638042,0.126653089,0.071428571,0.794184402,0.392936361,0.071428571,0.189873418,0.380051849,0.034632035,0.320931963,0.189873418,0.112220917,0.267367974,0.392936361,0.04247238,0.156513026,0.043789275,0.024691358,0.035393639,0.95752762,0.098497996,0.103994165,0.176787053
40,0.099841486,0.038190364,0.004329004,0.48134287,0.034221707,0.031510107,0.049382716,0.13594041,0.038190364,0.098297123,0.049135075,0.296667196,0.19880387,0.071428571,0.595952623,0.221117661,0.071428571,0.196202532,0.51865713,0.021645022,0.099841486,0.196202532,0.049941246,0.100885169,0.221117661,0.061392806,0.044042264,0.172027138,0.049382716,0.056982894,0.938607194,0.044698039,0.03689594,0.039686587
